Day		Stock_Index
0	-0.687573810380757	
5	-0.814552560354251	
10	-0.482166613322206	
15	0.1823921558319291	
20	1.17155951981182	
25	1.11993224795716	
30	1.76040352904815	
35	0.85306325756629	
40	0.884008797977875	
45	-0.0961992667883013	
50	-0.362278681433272	
55	-0.787688848042075	
60	-1.24562534471854	
65	-0.857943869454055	
70	-0.984936440040569	
75	0.73879885869926
85	0.147322443462963	
90	0.672876878448206	
95	1.0517445299925	
100	0.441866272154588	
105	0.663450083881401	
110	0.431995659566606	
115	0.0297318184434407	
120	0.201784286890415	
125	-0.867089171087457	
130	-0.385555968445403	
135	-1.39239681090435	
140	-0.00560132154951898	
145	-0.411747174255321		
155	0.925494371798661	
160	0.918926042050797	
165	0.821896386785244	
170	0.421124136112447	
175	-0.158524899861338	
180	-0.286262315923043	
185	0.633442143027573	
190	-1.12996624097939	
195	-1.40500469207669	
200	-1.07633665720008
